continent,isBot,submitter,statistics_type,previousWorkflowStep,city,latitude,type,uid,owningItem,countryCode,sortBy,id,owningComm,longitude,owner,workflowItemId,ip,query,dns,workflowStep,userAgent,actor,referrer,rpp,sortOrder,bundleName,time,page,epersonid,owningColl,uid_value,owningItem_value,owningComm_value,owningColl_value,workflowItemId_value
,false,,view,,,,0,b0d0bc24-8eb6-4c14-8942-4e12888fb180,cf92f7fc-baa1-4470-ac49-b1024ff08e68,,,afe202e0-6d40-4a62-9908-ccd1bc283dcd,3ba287c6-7a99-4ae4-807b-3cf10970033b,,,,6aeff9c0,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,https://pedsdspace01.research.chop.edu/entities/conceptset/b29c83c0-145d-42d1-a5eb-e9b519373c28/edit/relationships?spc.page=1&spc.rpp=5&query=PRESERVE,,,THUMBNAIL,2024-07-29T13:11:45.101Z,,,28303d70-5274-4ef7-aee4-2d45be6e585f,b0d0bc24-8eb6-4c14-8942-4e12888fb180,cf92f7fc-baa1-4470-ac49-b1024ff08e68,Concept Sets,Medications,
,false,,view,,,,0,c6004929-34e8-471e-a71a-322c08f0a734,2de92e4d-262f-4ed7-8da1-7311bd05ce22,,,66c574e3-ffdf-4e3e-854b-aa8650cc5092,3ba287c6-7a99-4ae4-807b-3cf10970033b,,,,6aeff9c0,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,https://pedsdspace01.research.chop.edu/entities/conceptset/b29c83c0-145d-42d1-a5eb-e9b519373c28/edit/relationships?spc.page=1&spc.rpp=5&query=PRESERVE,,,THUMBNAIL,2024-07-29T13:11:45.101Z,,,200771af-603d-4b71-8546-512e618b8b79,c6004929-34e8-471e-a71a-322c08f0a734,Major Depressive Disorder for PRESERVE,Concept Sets,Diagnoses,
,false,,view,,,,0,dca18d0c-00f0-4878-8652-e75862951ee7,6df51ca1-7a01-4551-b1f1-ca70aaf2c5ae,,,bd8c2824-8c81-4852-9100-1ad3f84d2c9b,"92eba3a4-d7d3-43bd-b3f9-0f84c68c08f6,92eba3a4-d7d3-43bd-b3f9-0f84c68c08f6",,,,6aeff9c0,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,https://pedsdspace01.research.chop.edu/entities/conceptset/b29c83c0-145d-42d1-a5eb-e9b519373c28/edit/relationships?spc.page=1&spc.rpp=5&query=PRESERVE,,,THUMBNAIL,2024-07-29T13:11:45.103Z,,,"6c8dedcf-c919-45f8-882b-e92de1bbcb55,c9e10fb0-3b40-483a-a1c0-97fff3772e6e",dca18d0c-00f0-4878-8652-e75862951ee7,Preserving Kidney Function in Children with Chronic Kidney Disease (PRESERVE),PEDSnet Studies;PEDSnet Studies,PCORnet Designated Studies;PRESERVE: Preserving Kidney Function in Children with Chronic Kidney Disease,
,false,,view,,,,0,ac930041-7753-498c-a4f9-13876089367a,21ef18a9-9e43-40ae-b684-39be8e3a8c58,,,8644e21c-fff3-444e-9da5-3ad9a11b646b,3ba287c6-7a99-4ae4-807b-3cf10970033b,,,,6aeff9c0,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,https://pedsdspace01.research.chop.edu/entities/conceptset/b29c83c0-145d-42d1-a5eb-e9b519373c28/edit/relationships?spc.page=1&spc.rpp=5&query=PRESERVE,,,THUMBNAIL,2024-07-29T13:11:45.105Z,,,28303d70-5274-4ef7-aee4-2d45be6e585f,ac930041-7753-498c-a4f9-13876089367a,Thiazides,Concept Sets,Medications,
,false,,view,,,,0,988a40c8-cc6d-4cb1-a3ff-7a6a08e99bfa,cf92f7fc-baa1-4470-ac49-b1024ff08e68,,,afe202e0-6d40-4a62-9908-ccd1bc283dcd,3ba287c6-7a99-4ae4-807b-3cf10970033b,,,,6aeff9c0,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,https://pedsdspace01.research.chop.edu/entities/conceptset/ef0d5b01-14ab-4173-b18e-6dc83861cc59/edit/relationships?spc.page=1&spc.rpp=5&query=PRESERVE,,,THUMBNAIL,2024-07-29T13:11:59.434Z,,,28303d70-5274-4ef7-aee4-2d45be6e585f,988a40c8-cc6d-4cb1-a3ff-7a6a08e99bfa,cf92f7fc-baa1-4470-ac49-b1024ff08e68,Concept Sets,Medications,
,false,,view,,,,0,4f213204-085d-44eb-a1aa-baa7d2656f15,21ef18a9-9e43-40ae-b684-39be8e3a8c58,,,8644e21c-fff3-444e-9da5-3ad9a11b646b,3ba287c6-7a99-4ae4-807b-3cf10970033b,,,,6aeff9c0,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,https://pedsdspace01.research.chop.edu/entities/conceptset/ef0d5b01-14ab-4173-b18e-6dc83861cc59/edit/relationships?spc.page=1&spc.rpp=5&query=PRESERVE,,,THUMBNAIL,2024-07-29T13:11:59.434Z,,,28303d70-5274-4ef7-aee4-2d45be6e585f,4f213204-085d-44eb-a1aa-baa7d2656f15,Thiazides,Concept Sets,Medications,
,false,,view,,,,0,7503784a-501c-4f93-94b7-06b063a4be69,6df51ca1-7a01-4551-b1f1-ca70aaf2c5ae,,,bd8c2824-8c81-4852-9100-1ad3f84d2c9b,"92eba3a4-d7d3-43bd-b3f9-0f84c68c08f6,92eba3a4-d7d3-43bd-b3f9-0f84c68c08f6",,,,6aeff9c0,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,https://pedsdspace01.research.chop.edu/entities/conceptset/ef0d5b01-14ab-4173-b18e-6dc83861cc59/edit/relationships?spc.page=1&spc.rpp=5&query=PRESERVE,,,THUMBNAIL,2024-07-29T13:11:59.435Z,,,"6c8dedcf-c919-45f8-882b-e92de1bbcb55,c9e10fb0-3b40-483a-a1c0-97fff3772e6e",7503784a-501c-4f93-94b7-06b063a4be69,Preserving Kidney Function in Children with Chronic Kidney Disease (PRESERVE),PEDSnet Studies;PEDSnet Studies,PCORnet Designated Studies;PRESERVE: Preserving Kidney Function in Children with Chronic Kidney Disease,
,false,,view,,,,0,82752631-1df7-44fe-b790-96df74157d5d,2de92e4d-262f-4ed7-8da1-7311bd05ce22,,,66c574e3-ffdf-4e3e-854b-aa8650cc5092,3ba287c6-7a99-4ae4-807b-3cf10970033b,,,,6aeff9c0,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,https://pedsdspace01.research.chop.edu/entities/conceptset/ef0d5b01-14ab-4173-b18e-6dc83861cc59/edit/relationships?spc.page=1&spc.rpp=5&query=PRESERVE,,,THUMBNAIL,2024-07-29T13:11:59.443Z,,,200771af-603d-4b71-8546-512e618b8b79,82752631-1df7-44fe-b790-96df74157d5d,Major Depressive Disorder for PRESERVE,Concept Sets,Diagnoses,
,false,,view,,,,0,db4ba344-b514-4acf-aab2-5056b1362ad1,cf92f7fc-baa1-4470-ac49-b1024ff08e68,,,afe202e0-6d40-4a62-9908-ccd1bc283dcd,3ba287c6-7a99-4ae4-807b-3cf10970033b,,,,6aeff9c0,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,https://pedsdspace01.research.chop.edu/entities/conceptset/c8ff0463-815e-45a9-96bb-5378b51c3264/edit/relationships?spc.page=1&spc.rpp=5&query=PRESERVE,,,THUMBNAIL,2024-07-29T13:12:24.098Z,,,28303d70-5274-4ef7-aee4-2d45be6e585f,db4ba344-b514-4acf-aab2-5056b1362ad1,cf92f7fc-baa1-4470-ac49-b1024ff08e68,Concept Sets,Medications,
,false,,view,,,,0,8c09a34c-4ac8-45c6-bf18-c5409a9bbb4f,21ef18a9-9e43-40ae-b684-39be8e3a8c58,,,8644e21c-fff3-444e-9da5-3ad9a11b646b,3ba287c6-7a99-4ae4-807b-3cf10970033b,,,,6aeff9c0,,40fccbf6,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,https://pedsdspace01.research.chop.edu/entities/conceptset/c8ff0463-815e-45a9-96bb-5378b51c3264/edit/relationships?spc.page=1&spc.rpp=5&query=PRESERVE,,,THUMBNAIL,2024-07-29T13:12:24.100Z,,,28303d70-5274-4ef7-aee4-2d45be6e585f,8c09a34c-4ac8-45c6-bf18-c5409a9bbb4f,Thiazides,Concept Sets,Medications,
